symbol,etf_name,ex_date,record_date,pay_date,dividend,source,source_url,scraped_at
50,元大台灣50,2016/7/28,2016/8/3,2016/8/30,0.85,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2016&endDate=2016,40:24.4
50,元大台灣50,2017/2/8,2017/2/14,2017/3/14,1.7,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2017&endDate=2017,40:25.8
50,元大台灣50,2017/7/31,2017/8/6,2017/8/31,0.7,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2017&endDate=2017,40:25.7
50,元大台灣50,2018/1/29,2018/2/4,2018/3/13,2.2,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2018&endDate=2018,40:27.4
50,元大台灣50,2018/7/23,2018/7/29,2018/8/27,0.7,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2018&endDate=2018,40:27.4
50,元大台灣50,2019/1/22,2019/1/28,2019/3/8,2.3,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2019&endDate=2019,40:28.9
50,元大台灣50,2019/7/19,2019/7/27,2019/8/22,0.7,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2019&endDate=2019,40:28.9
50,元大台灣50,2020/1/31,2020/2/8,2020/3/6,2.9,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2020&endDate=2020,40:30.6
50,元大台灣50,2020/7/21,2020/7/27,2020/8/24,0.7,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2020&endDate=2020,40:30.6
50,元大台灣50,2021/1/22,2021/1/30,2021/3/9,3.05,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2021&endDate=2021,40:32.2
50,元大台灣50,2021/7/21,2021/7/27,2021/8/24,0.35,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2021&endDate=2021,40:32.2
50,元大台灣50,2022/1/21,2022/1/29,2022/3/4,3.2,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2022&endDate=2022,40:33.7
50,元大台灣50,2022/7/18,2022/7/24,2022/8/19,1.8,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2022&endDate=2022,40:33.7
50,元大台灣50,2023/1/30,2023/2/5,2023/3/7,2.6,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
50,元大台灣50,2023/7/18,2023/7/24,2023/8/11,1.9,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
50,元大台灣50,2024/1/17,2024/1/23,2024/2/21,3,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
50,元大台灣50,2024/7/16,2024/7/22,2024/8/9,1,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
50,元大台灣50,2025/1/17,2025/1/25,2025/2/20,2.7,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
50,元大台灣50,2025/7/21,2025/7/27,2025/8/8,0.36,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
50,元大台灣50,2026/1/22,2026/1/28,2026/2/11,1,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.4
52,富邦科技,2016/5/4,2016/5/10,2016/6/6,2.439,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2016&endDate=2016,40:24.4
52,富邦科技,2017/5/3,2017/5/9,2017/6/8,1.41,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2017&endDate=2017,40:25.8
52,富邦科技,2018/5/3,2018/5/9,2018/6/6,1.72,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2018&endDate=2018,40:27.4
52,富邦科技,2019/5/2,2019/5/8,2019/6/5,1.047,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2019&endDate=2019,40:28.9
52,富邦科技,2020/4/22,2020/4/28,2020/5/29,1.927,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2020&endDate=2020,40:30.6
52,富邦科技,2021/4/20,2021/4/26,2021/5/24,1.032,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2021&endDate=2021,40:32.2
52,富邦科技,2022/4/20,2022/4/26,2022/5/24,10.19,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2022&endDate=2022,40:33.7
52,富邦科技,2023/4/21,2023/4/29,2023/5/18,4,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
52,富邦科技,2024/4/18,2024/4/24,2024/5/15,6.43,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
52,富邦科技,2025/4/23,2025/4/29,2025/5/19,3.23,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
