family,experiment,trade_count,avg_net_return,median_net_return,win_rate,total_net_return_sum,std_net_return,min_net_return,max_net_return,profit_factor
entry_premium_filter,entry_premium_top_25pct,20.0,0.01965563257339315,0.008740195655995642,0.7,0.39311265146786306,0.03551655603042814,-0.03493344107256564,0.11307407488551662,6.236257748001942
market_regime_filter,bench_below_ma60,27.0,0.014916726047294255,0.009768404940726106,0.5555555555555556,0.40275160327694487,0.03635847856008013,-0.051520734446575074,0.11307407488551662,3.20955444770521
entry_premium_filter,entry_premium_above_median,39.0,0.014283121313594717,0.012260293696311698,0.6410256410256411,0.557041731230194,0.03436141465468767,-0.06983018867981179,0.11307407488551662,3.2068362590101844
entry_volume_filter,entry_volume_top_25pct,22.0,0.013391793050866296,0.004679082008769587,0.5,0.2946194471190585,0.039343398653371685,-0.06983018867981179,0.11307407488551662,2.5558600338837536
entry_volume_filter,entry_volume_below_median,44.0,0.013255588119340033,0.009191381880800976,0.7272727272727273,0.5832458772509614,0.027053338855215547,-0.06797992327078779,0.05845068594444274,3.7072213780880796
market_regime_filter,bench_ret_60_negative,23.0,0.01312455924946644,0.010591032612250518,0.6521739130434783,0.3018648627377281,0.03798210429963107,-0.06983018867981179,0.11307407488551662,2.671945151540858
symbol_filter,exclude_0056_00713,54.0,0.01309786671438625,0.012089859065601161,0.6666666666666666,0.7072848025768574,0.0329243348265326,-0.06983018867981179,0.07792053111993273,2.7308022085225327
symbol_filter,high_alpha_symbols_00878_00919_00929,54.0,0.01309786671438625,0.012089859065601161,0.6666666666666666,0.7072848025768574,0.0329243348265326,-0.06983018867981179,0.07792053111993273,2.7308022085225327
symbol_filter,only_00929,24.0,0.01279070735587643,0.006339076232337805,0.5833333333333334,0.3069769765410343,0.036105861690076776,-0.06797992327078779,0.07792053111993273,2.498233686144913
dividend_yield_filter,dividend_yield_above_median,44.0,0.012422960837543533,0.0064577404046934255,0.6136363636363636,0.5466102768519154,0.027116282805296543,-0.03493344107256564,0.11307407488551662,4.10745700267875
market_regime_filter,bench_ret_20_positive,62.0,0.011897140754706452,0.012089859065601161,0.6774193548387096,0.7376227267918001,0.02780398389866004,-0.06983018867981179,0.0582643435958941,2.9892207523895102
entry_premium_filter,all,88.0,0.011846930481111672,0.007751858760308307,0.625,1.042529882337827,0.030906481611773017,-0.06983018867981179,0.11307407488551662,2.813088796561967
dividend_yield_filter,all,88.0,0.011846930481111672,0.007751858760308307,0.625,1.042529882337827,0.030906481611773017,-0.06983018867981179,0.11307407488551662,2.813088796561967
entry_volume_filter,all,88.0,0.011846930481111672,0.007751858760308307,0.625,1.042529882337827,0.030906481611773017,-0.06983018867981179,0.11307407488551662,2.813088796561967
symbol_filter,all,88.0,0.011846930481111672,0.007751858760308307,0.625,1.042529882337827,0.030906481611773017,-0.06983018867981179,0.11307407488551662,2.813088796561967
market_regime_filter,all,88.0,0.011846930481111672,0.007751858760308307,0.625,1.042529882337827,0.030906481611773017,-0.06983018867981179,0.11307407488551662,2.813088796561967
market_regime_filter,bench_ret_20_negative,26.0,0.011727198290231795,-0.0011041653286688142,0.5,0.30490715554602665,0.0379188823109616,-0.051520734446575074,0.11307407488551662,2.493235909905028
market_regime_filter,bench_ret_60_positive,65.0,0.011394846455386135,0.006949384018111006,0.6153846153846154,0.7406650196000988,0.028315854890968786,-0.06797992327078779,0.07792053111993273,2.877692051554724
dividend_yield_filter,dividend_yield_below_median,44.0,0.011270900124679802,0.013244230611858244,0.6363636363636364,0.49591960548591124,0.034592825313640864,-0.06983018867981179,0.07792053111993273,2.2425968916681334
market_regime_filter,bench_above_ma60,61.0,0.010488168509194784,0.00771198637126518,0.6557377049180327,0.6397782790608818,0.028391856507214656,-0.06983018867981179,0.0582643435958941,2.6290752516756806
entry_volume_filter,entry_volume_above_median,44.0,0.010438272842883303,0.0004772931558338258,0.5227272727272727,0.45928400508686534,0.034593226818070436,-0.06983018867981179,0.11307407488551662,2.2773453758045785
entry_premium_filter,entry_premium_below_median,40.0,0.010109306849679258,0.00607279225741202,0.625,0.4043722739871703,0.03017455406362004,-0.06797992327078779,0.06089998360217468,2.3437620459555673
dividend_yield_filter,dividend_yield_bottom_25pct,22.0,0.009968570483563068,0.004058638852144127,0.5454545454545454,0.2193085506383875,0.03478842637842244,-0.06797992327078779,0.06089998360217468,2.0703586370821143
entry_premium_filter,entry_premium_bottom_25pct,20.0,0.009896365696895101,0.00607279225741202,0.6,0.19792731393790203,0.03028334028404356,-0.05403226372697984,0.06089998360217468,2.31709836931055
symbol_filter,old_large_symbols_0056_00713,34.0,0.009860149404734387,0.005209494021279727,0.5588235294117647,0.3352450797609692,0.027760876341224313,-0.03493344107256564,0.11307407488551662,3.0152213611084044
entry_premium_filter,entry_premium_not_too_expensive,59.0,0.009632226334737306,0.010591032612250518,0.6101694915254238,0.5683013537495011,0.030864762711734217,-0.06983018867981179,0.06089998360217468,2.188251677944302
dividend_yield_filter,dividend_yield_top_25pct,22.0,0.007280398801706281,-0.000815576661916849,0.45454545454545453,0.16016877363753818,0.030616284588450005,-0.03493344107256564,0.11307407488551662,2.2756806660610294
